
country,area_name,aoi_category,longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_NDVI,s2_EVI,s2_NDWI
Brazil,Amazonas,Stable_Forest,-55.420797885762376,-5.778907138505088,2019,180.110291,213.0,247.0,479.0,206.0,790.0,2807.0,3601.0,3972.0,3977.0,4193.0,1693.0,690.0,68.0,3375.0,4.0,21.0,49.0,26.0,0.9013882279396057,2.8050052137643378,-0.7847674489021301
Brazil,Amazonas,Stable_Forest,-63.94068953493716,-7.158988909497909,2019,188.543655,283.0,273.5,470.5,266.5,739.5,1968.5,2519.0,2413.0,2901.5,2873.5,1365.5,556.5,242.5,3838.5,4.0,26.5,47.5,29.5,0.8010823130607605,2.73544029565439,-0.6736604571342468
Brazil,Amazonas,Stable_Forest,-60.87357166036787,-8.149381510239682,2019,269.8944396972656,214.0,211.0,374.0,193.0,655.0,2145.0,2752.0,2788.0,3176.0,3185.0,1399.0,544.0,64.0,3099.0,4.0,20.0,38.0,23.0,0.8705132603645325,2.7437090293931066,-0.7634408473968506
Brazil,Amazonas,Stable_Forest,-59.7742134156624,-10.463172187546332,2019,230.705811,224.0,230.0,414.0,197.0,727.0,2650.0,3389.0,3218.0,3673.0,3444.0,1434.0,600.0,75.0,2800.0,4.0,21.0,44.0,21.0,0.8846266269683838,2.822309417040359,-0.7720264196395874
Brazil,Amazonas,Stable_Forest,-55.87094367463467,-6.438001062463581,2019,289.801636,333.0,339.0,541.5,321.0,841.0,2441.5,3183.5,3152.0,3536.5,3728.5,1493.5,610.5,84.5,3063.0,4.0,33.0,55.5,35.0,0.8151454329490662,2.7902621722846446,-0.7067821621894836
Brazil,Amazonas,Stable_Forest,-61.59572731727155,-8.194566769030892,2019,0.5189459919929504,340.0,403.0,585.0,556.0,995.0,1648.0,1959.0,2149.0,2330.0,2333.0,2376.0,1470.0,112.0,2970.0,4.0,56.0,60.0,41.0,0.5889094471931458,1.616602394966511,-0.5720555782318115
Brazil,Amazonas,Stable_Forest,-64.80055692489636,-8.188368393570467,2019,217.841721,235.0,243.5,399.5,201.5,623.5,2034.0,2653.5,2785.0,3031.0,3066.5,1372.0,532.0,122.5,3823.0,4.0,21.0,41.0,25.0,0.8650594353675842,2.9780979827089338,-0.7490971684455872
Brazil,Amazonas,Stable_Forest,-61.25589464528914,-8.360305938950944,2019,257.465149,203.0,238.0,376.0,213.0,628.0,1997.0,2598.0,2514.0,2912.0,3056.0,1336.0,545.0,65.0,3271.0,4.0,22.0,39.0,25.0,0.8437843918800354,2.8647908366533863,-0.7397924065589905
Brazil,Amazonas,Stable_Forest,-64.42479164154916,-8.121354073375151,2019,61.592594146728516,247.0,278.0,420.0,246.0,723.0,2164.0,2773.0,2786.0,3111.0,2930.0,1433.0,572.0,147.0,3484.0,4.0,25.0,43.0,29.0,0.837730884552002,2.9155188246097334,-0.7379912734031677
Brazil,Amazonas,Stable_Forest,-62.118097654987054,-5.9260511820438655,2019,153.078613,265.0,300.5,484.0,283.5,839.0,2373.5,3067.0,2862.5,3427.0,3137.0,1585.5,649.0,123.0,3859.0,4.0,29.5,50.5,30.0,0.8197711110115051,2.790219625662664,-0.7107425928115845
